date,meter_value
20-09-2016,696
21-09-2016,82
21-09-2016,293
21-09-2016,43
21-09-2016,426
22-09-2016,61
22-09-2016,251
22-09-2016,126
22-09-2016,541
23-09-2016,82
23-09-2016,149
23-09-2016,14
23-09-2016,474
24-09-2016,0
24-09-2016,199
24-09-2016,87
24-09-2016,229
25-09-2016,8
25-09-2016,337
25-09-2016,61
25-09-2016,588
26-09-2016,56
26-09-2016,103
26-09-2016,33
26-09-2016,453
27-09-2016,25
27-09-2016,258
27-09-2016,77
27-09-2016,157
28-09-2016,127
28-09-2016,326
28-09-2016,66
28-09-2016,352
29-09-2016,73
29-09-2016,139
29-09-2016,46
29-09-2016,629
30-09-2016,171
30-09-2016,144
30-09-2016,88
30-09-2016,1110
01-10-2016,58
01-10-2016,304
01-10-2016,88
01-10-2016,388
02-10-2016,50
02-10-2016,329
02-10-2016,195
02-10-2016,1033
03-10-2016,16
03-10-2016,171
03-10-2016,82
03-10-2016,487
04-10-2016,26
04-10-2016,354
04-10-2016,48
04-10-2016,452
05-10-2016,29
05-10-2016,201
05-10-2016,79
05-10-2016,608
06-10-2016,120
06-10-2016,126
06-10-2016,8
06-10-2016,373
07-10-2016,106
07-10-2016,155
07-10-2016,11
07-10-2016,468
08-10-2016,98
08-10-2016,348
08-10-2016,114
08-10-2016,628
09-10-2016,50
09-10-2016,193
09-10-2016,60
09-10-2016,446
10-10-2016,291
10-10-2016,251
10-10-2016,16
10-10-2016,304
11-10-2016,161
11-10-2016,153
11-10-2016,201
11-10-2016,509
12-10-2016,170
12-10-2016,203
12-10-2016,61
12-10-2016,267
13-10-2016,152
13-10-2016,176
13-10-2016,25
13-10-2016,564
14-10-2016,238
14-10-2016,122
14-10-2016,23
14-10-2016,414
15-10-2016,113
15-10-2016,198
15-10-2016,157
15-10-2016,324
16-10-2016,0
16-10-2016,228
16-10-2016,91
16-10-2016,508
17-10-2016,153
17-10-2016,207
17-10-2016,19
17-10-2016,554
18-10-2016,148
18-10-2016,181
18-10-2016,95
18-10-2016,543
19-10-2016,19
19-10-2016,178
19-10-2016,159
19-10-2016,399
20-10-2016,260
20-10-2016,152
20-10-2016,63
20-10-2016,314
21-10-2016,314
21-10-2016,218
21-10-2016,71
21-10-2016,439
22-10-2016,107
22-10-2016,229
22-10-2016,19
22-10-2016,628
23-10-2016,76
23-10-2016,314
23-10-2016,177
23-10-2016,590
24-10-2016,161
24-10-2016,196
24-10-2016,24
24-10-2016,328
25-10-2016,237
25-10-2016,229
25-10-2016,13
25-10-2016,20
26-10-2016,417
26-10-2016,149
26-10-2016,63
26-10-2016,553
27-10-2016,362
27-10-2016,94
27-10-2016,67
27-10-2016,503
28-10-2016,92
28-10-2016,246
28-10-2016,28
28-10-2016,418
29-10-2016,332
29-10-2016,262
29-10-2016,81
29-10-2016,438
30-10-2016,89
30-10-2016,201
30-10-2016,176
30-10-2016,301
31-10-2016,84
31-10-2016,136
31-10-2016,21
31-10-2016,951
01-11-2016,32
01-11-2016,256
01-11-2016,65
02-11-2016,15
02-11-2016,125
02-11-2016,60
02-11-2016,1013
03-11-2016,13
03-11-2016,213
03-11-2016,35
03-11-2016,69
04-11-2016,11
04-11-2016,149
04-11-2016,18
04-11-2016,622
05-11-2016,17
05-11-2016,277
05-11-2016,125
05-11-2016,461
06-11-2016,172
06-11-2016,424
06-11-2016,207
06-11-2016,371
07-11-2016,18
07-11-2016,182
07-11-2016,45
07-11-2016,468
08-11-2016,23
08-11-2016,146
08-11-2016,121
08-11-2016,529
09-11-2016,20
09-11-2016,205
09-11-2016,74
09-11-2016,526
10-11-2016,0
10-11-2016,245
10-11-2016,76
10-11-2016,350
11-11-2016,0
11-11-2016,149
11-11-2016,14
11-11-2016,225
12-11-2016,55
12-11-2016,257
12-11-2016,99
12-11-2016,533
13-11-2016,19
13-11-2016,415
13-11-2016,140
13-11-2016,591
14-11-2016,39
14-11-2016,403
14-11-2016,40
14-11-2016,311
15-11-2016,12
15-11-2016,336
15-11-2016,59
15-11-2016,421
16-11-2016,103
16-11-2016,228
16-11-2016,111
16-11-2016,404
17-11-2016,19
17-11-2016,216
17-11-2016,95
17-11-2016,345
18-11-2016,76
18-11-2016,63
18-11-2016,31
18-11-2016,291
19-11-2016,39
19-11-2016,430
19-11-2016,10
19-11-2016,792
20-11-2016,15
20-11-2016,220
20-11-2016,171
20-11-2016,526
21-11-2016,19
21-11-2016,136
21-11-2016,31
21-11-2016,543
22-11-2016,21
22-11-2016,251
22-11-2016,16
22-11-2016,269
23-11-2016,19
23-11-2016,254
23-11-2016,168
23-11-2016,546
24-11-2016,35
24-11-2016,276
24-11-2016,25
24-11-2016,691
25-11-2016,64
25-11-2016,118
25-11-2016,10
25-11-2016,201
26-11-2016,5
26-11-2016,290
26-11-2016,87
26-11-2016,987
27-11-2016,11
27-11-2016,476
27-11-2016,44
27-11-2016,541
28-11-2016,8
28-11-2016,148
28-11-2016,17
28-11-2016,110
29-11-2016,45
29-11-2016,223
29-11-2016,102
29-11-2016,686
30-11-2016,17
30-11-2016,149
30-11-2016,213
30-11-2016,511
01-12-2016,32
01-12-2016,252
01-12-2016,53
01-12-2016,444
02-12-2016,19
02-12-2016,218
02-12-2016,16
02-12-2016,230
03-12-2016,39
03-12-2016,251
03-12-2016,197
03-12-2016,631
04-12-2016,10
04-12-2016,338
04-12-2016,52
04-12-2016,751
05-12-2016,13
05-12-2016,179
05-12-2016,12
05-12-2016,259
06-12-2016,180
06-12-2016,274
06-12-2016,92
06-12-2016,281
07-12-2016,38
07-12-2016,76
07-12-2016,102
07-12-2016,553
08-12-2016,57
08-12-2016,297
08-12-2016,22
08-12-2016,205
09-12-2016,17
09-12-2016,221
09-12-2016,10
09-12-2016,790
10-12-2016,29
10-12-2016,147
10-12-2016,61
10-12-2016,386
11-12-2016,79
11-12-2016,339
11-12-2016,79
11-12-2016,468
12-12-2016,21
12-12-2016,344
12-12-2016,26
12-12-2016,235
13-12-2016,22
13-12-2016,263
13-12-2016,21
13-12-2016,982
14-12-2016,23
14-12-2016,113
14-12-2016,20
14-12-2016,388
15-12-2016,13
15-12-2016,179
15-12-2016,58
15-12-2016,301
16-12-2016,46
16-12-2016,232
16-12-2016,116
16-12-2016,591
17-12-2016,24
17-12-2016,326
17-12-2016,9
18-12-2016,163
18-12-2016,427
18-12-2016,167
19-12-2016,14
19-12-2016,128
19-12-2016,16
19-12-2016,1606
20-12-2016,21
20-12-2016,193
20-12-2016,80
20-12-2016,524
21-12-2016,10
21-12-2016,237
21-12-2016,55
21-12-2016,190
22-12-2016,121
22-12-2016,98
22-12-2016,11
22-12-2016,562
23-12-2016,50
23-12-2016,76
23-12-2016,33
23-12-2016,637
24-12-2016,60
24-12-2016,398
24-12-2016,19
24-12-2016,419
